Target,Source
Blinding Reflection,致盲反射
Electromagnetic Dispersal,电磁分散
Jaathoom Shuyookh,气巨灵长老
Impressive Wish,映像祈愿术
Kizidhar,木巨灵
(24 with shield raised),（举起盾牌时24）
Jann Shuyookh,小巨灵长老
Ifrit Shuyookh,火巨灵长老
Exploit Regret,剥削遗憾
Heat of Blazing Wings,燃翼灼热
Pedantic Wish,曲解祈愿术
"fast healing 30, void healing",快速治疗30，虚能治疗
"coffin restoration, fast healing 20, void healing",寝于棺木，快速治疗20，虚能治疗
Lesser Max,至多次等
Set all walls to Lesser Cover,设置所有墙体为次等掩蔽
Variant fire giant,变体火巨人
Modify sense ranges and precision,调整感官范围及其精确度
Provide cover to other tokens,为其他指示物提供掩蔽
Spawn of Dahak,达哈克之嗣
Variant Racharak,变体拉查拉克
PF2eVisionerEffect,2 效果
Dragonblood Occultist,龙裔异能者
Draconic Willpower,龙语意志
Light of Fate,命运之光
Vivielle Ramslay,维维埃尔·拉姆斯雷
Tower Shield (Take Cover),塔盾（寻找掩蔽）
Ally benefits from your tower shield,盟友受益于你的塔盾
Ballistic Cover,弹道掩体
Heavy Precipitation,强降水
Faerie fire reveals your location,妖火术揭示了你的所在位置
Revealing light prevents concealment,在显光尘影响下你无法隐蔽
Blur's concealment doesn't hide your location,朦胧术提供的隐蔽无法用于躲藏
Provide Cover,提供掩蔽
Your concealment doesn't qualify for this action,你获得的隐蔽状态不满足该动作的使用条件
Your cover doesn't qualify for this action,你获得的掩蔽不满足该动作的使用条件
Ancient Dust,悠古尘埃
Clockwork Key,发条钥匙
Augmented Body,强化义躯
area that doesn't contain any structures,不包含任何建筑结构的区域
Suffocate,窒息术
1 living creature that needs to breathe,1个需要呼吸的活物；
Vibrant Vibrato,振动颤音
Bottle,瓶子
Male xulgath prophet,男性地蜥人先知
Flense,剔骨术
1 creature or corpse,1个生物或1具尸体
Spiritual Torrent,心魂洪流
Female vampire drider priest,女性蛛化吸血鬼祭司
Torturous Trauma,折磨创伤
Female half-elf afflicted guard captain,女性半精灵受害守卫队长
21 with shield raised,举起盾牌时21
Take Your Places,各就各位
up to 4 willing creatures,至多4个自愿生物
(20 when custom armor is broken),（改装护甲破损时20）
Mask of Aroden's Guises,奥罗登的伪装面具
Spell Effect: Augmented Body,法术效果：强化义躯
Mirror Rejuvenation,镜中复生
By Damage Type,按伤害类型
Effect: Hampering Fusillade,效果：阻碍射击
Variant drider,变体蛛化精灵
Female xulgath loremaster,女性地蜥人学识大师
Female xulgath thoughtmaw,女性地蜥摄智者
Variant adamantine golem,变体精金魔像
Unmasked Statues,无面具的雕像
Male drow mummy mage,男性卓尔木乃伊巫师
Psionic Scent (Imprecise) 120 feet,心灵嗅觉（模糊感官）120尺 120
Female duergar seneschal,女性灰矮人总管
Drow graveknight,卓尔死墓骑士
Elite marilith,精英六臂蛇魔
Variant giant eagle,变体巨鹰
Female variant glabrezu demon,女性变体迷诱魔
Stunning Blow,震慑打击
(24 when broken); construct armor,（破损时24）；构装护甲
Variant elite iron golem,变体精英铁魔像
Variant quelaunt,变体奎伦特
Frenzied Beaks,疯狂乱啄
Hand Drill,手钻
Vulnerable to Vitality Energy,命能易伤
Smog Wraith Spawn,霾缚灵衍体
Yana No-trail,无踪亚纳
Cold Tolerant,寒冷忍耐
per tree,每棵树
(17 with shield raised),（举起盾牌时17）
23 with shield raised,举起盾牌时23
Elder Child of Belcorra,贝科拉的长子
Male gug (Pathfinder Bestiary 198),男性古革巨人
Male devourer (Pathfinder Bestiary 2 78),男性囚魂魔
Female feebleminded medusa (Pathfinder Bestiary 234),女性弱智美杜莎
Bog mummy (Pathfinder Bestiary 2 177),沼泽木乃伊
Violin,小提琴
Male Drow Hunter,男性卓尔猎手
Jafaki's Round Key,贾法基的圆头钥匙（11和7）'
Jafaki's Four-pronged Key,贾法基的四齿钥匙（副本）
Executioner's Hood,刽子手兜帽
Telepathy 200 feet,心灵感应200尺 200
(Martial Artist) Competitive Taunt,（武道家）战啸裂胆
(Divine Warden) Sanctification,（神圣守卫）祝佑
"(Martial Artist, Dirty Fighting) Contraband Substance",（武道家，卑鄙伎俩）十全大补丸
(Floodslain) Drowning Touch,（洪溺生物）溺水之触
(Failed Prophet) Broken Mindscape,（失败先知）破碎思维空间
"(Martial Artist, Dirty Fighting) Illegal Bite",（武道家，卑鄙伎俩）恶狗扑食
Effect: Kettle Up (Boiling),效果：围成壶状 （沸腾）
(Failed Prophet) Wealthsense,（失败先知）财富感知
(Sporeborn) Contagious Spores,（孢植生物）传染性孢子
Harp,竖琴
+4 Bonus on Perception to Sense motive,在察言观色的察觉检定上+4加值4
Telepathy 500 feet,心灵感应500尺 500
Tremorsense (Imprecise) 15 feet,震颤感知（模糊感官）15尺 15
Baykok,猎生尸
Telepathy 150 feet,心灵感应150尺 150
Telepathy 80 feet,心灵感应80尺 80
"Tremorsense (Precise) 40 feet, (Imprecise) 80 feet",震颤感知（精确感官）40尺，（模糊感官）80尺
Thoughtsense (Imprecise) 120 feet,思维感知（模糊感官）120尺 120
Self-Absorbed,固执己见
Splinter Sycophant,分裂吹捧者
Fatal Fantasia,夺命幻想曲
Wavesense (Imprecise) 120 feet,水波感知（模糊感官）120尺 120
Echolocation 60 feet,回声定位60尺 60
Record Audio,录音
"Tremorsense (Precise) 120 feet, (Imprecise) 240 feet",震颤感知（精确感官）120尺，（模糊感官）240尺
Barbed Net,倒钩网
+2 status to all saves vs. curses,对抗诅咒时豁免+2状态加值
Thoughtsense (Precise) 60 feet,思维感知（精准感官）60尺 60
(32 when broken); construct armor,（破损时32）；构装护甲
Telepathy 50 feet,心灵感应50尺 50
(26 when broken); construct armor,（破损时26）；构装护甲
Skeleton Crew,骷髅船员
(29 with shields raised),（举起盾牌时29）
Interplanar Lifesense,跨位面感知
Silver Scissors,银剪刀
Carrion Scent (Imprecise) 30 feet,腐肉感知（模糊感官）30尺 30
Legal Ledgers,法律卷宗
Tremorsense (Imprecise) within their entire bound home,震颤感知（模糊感官）身处所连结的房屋中时
+1 status to all saves vs. evil,对抗邪秽时豁免+1状态加值
-1 to all saves vs. emotion effects,对抗情绪效果时豁免-1
-2 to all saves vs. emotion effects,对抗情绪效果时豁免-2
Wavesense (Imprecise) 10 feet,水波感知（模糊感官）10尺 10
regeneration 50 (deactivated by fire),再生50（由火焰失效）
+2 Perception to Sense Motive,察言观色的察觉检定上+2加值2
Thoughtsense (Precise) 120 feet,思维感知（精确感官）120尺 120
"fast healing 15, void healing",快速治疗15，虚能治疗
+2 to all saves vs. poison,对抗毒素时豁免+2
Telepathy (touch),心灵感应（接触）
Sandals,木屐
"Regeneration 50 (Deactivated by Holy, Mental, Orichalcum)",再生50（圣洁、心灵或山铜使其失效）
(12 when broken); construct armor,（破损时12）；构装护甲
Surreal Anatomy,超现实解剖学
Bittersweet Dreams,苦乐交织之梦
Pluck Dream,采梦
(31 with guard raised),（举刃护身时31）
Satchel for Holding Rocks,一小包石头
+3 Status to Reflex vs. Damaging Effects,对抗伤害效果时反射豁免+3状态加值
Shifting Skeleton,变形骷髅
Tangle in Riddle,谜题纠缠
Fated Not to Die,命不该绝
Rearrange Bones,重排骨骼
Shatter Glass,震碎玻璃
Nyctessa,妮克泰莎
Adept Crafter,娴熟工匠
Deathly Inquisition,死亡审讯
Drain Bonded Staff,汲取连结法杖
Effect: Sepulchral Drain,效果：坟墓汲取
Magaambya Mask,玛甘比面具
Serving Tray,托盘
+1 status to all saves vs. fear,对抗恐惧时豁免+1状态加值
+1 circumstance to all saves vs. traps,对抗陷阱时豁免+1环境加值
(22 against traps),（对抗陷阱时22）
Undetected condition applied with full mechanical effects,以系统机制效果应用无踪状态
Effect: Rule Elements,效果：规则元素
Forebearers Reckoning,先祖审判
Spell Effect: Forebearers Reckoning,法术效果：先祖审判
Basic Witchcraft+,基础巫术+
Rites of Mutation,多变仪式
Soulbound Guardian,魂缚守卫
Mannequin,人体模型
Splitsoul,灵魂分裂
Bugbear Prowler (BB),熊地精徘徊者
Caligni Skulker (BB),卡利尼匿行者
Cinder Dragon (Young),青年灰烬龙
Cinder Dragon (Ancient),古灰烬龙
"Cinder Dragon (Ancient, Spellcaster)",古施法者灰烬龙
Reactive Strike (Jaws only),反应打击（仅颚咬）
All Becomes Flame,万象化焰
Pyre Breath,烈焰吐息
Cinder Dragon (Adult),成年灰烬龙
Stoke the Flames,煽燃烈焰
"Cinder Dragon (Adult, Spellcaster)",成年施法者灰烬龙
"Cinder Dragon (Young, Spellcaster)",青年施法者灰烬龙
Requiem Dragon (Ancient),古安魂龙
Rune Dragon (Young),青年符文龙
Soul Anchor,灵魂锚定
Rune Dragon (Adult),成年符文龙
Avenger of Envy,嫉妒复仇者
Whisper Dragon (Adult),成年低语龙
inhaled poisons,吸入毒素
Immune to acid,免疫酸蚀
Immune to cold,免疫寒冷
Immune to electricity,免疫电击
Immune to fire,免疫火焰
Observational Analysis — Increase Combat Assessment bonus,观察分析 — 战力评估加值
Step into effect's area,快步进去效果区域
Step out of effect's area,快步离开效果区域
Triangular Teeth — Navigate Waters,三角齿 — 水中导航
Lightless Sight,无光视界
Unbidden Thoughts,无声思绪
Unerring Location,精准定位
Dooming Breath,毁灭吐息
Runic Scales,符文鳞片
Dislocating Breath,错位吐息
Phase Dragon (Young),青年相位龙
Phase Dragon (Adult),成年相位龙
Portal Strike,传送打击
"Phase Dragon (Adult, Spellcaster)",成年相位龙施法者
Phase Dragon (Ancient),古相位龙
Blinking Barrage,闪现连击
I've Been Here Before,我曾至此
"Coral Dragon (Adult, Spellcaster)",成年珊瑚龙
Coral Dragon (Adult),成年珊瑚龙
"Coral Dragon (Young, Spellcaster)",青年珊瑚龙
"Coral Dragon (Ancient, Spellcaster)",古珊瑚龙
Coral Dragon (Ancient),古珊瑚龙
Coral Dragon (Young),青年珊瑚龙
Reef Armor,珊瑚护甲
Detonating Rune,爆裂符文
Property Runes,性能符文
Create Scrolls,创建卷轴
Assign Attributes Boosts,分配属性提升
Use Manual Input Method,使用手动方式导入
"Despair Dragon (Young, Spellcaster)",青年绝望龙
"Despair Dragon (Ancient, Spellcaster)",古绝望龙
Despair Dragon (Young),青年绝望龙
Despair Dragon (Ancient),古绝望龙
Biomineralize,生物矿化
Kaleidoscopic Display,万花华彩
Reef Bond,礁石契约
Hydraulic Breath,液压吐息
Reef Meld,珊瑚融合
Despair Dragon (Adult),成年绝望龙
"Despair Dragon (Adult, Spellcaster)",成年绝望龙
Telepathy 90 feet,心灵感应90尺 90
Fearsense,恐惧感知
Consume Fear,吞噬恐惧
Look Behind You,看你背后
Shrieking Breath,尖叫吐息
Tongue Decoy,舌头诱饵
Expanded Runelord Magic,扩展符文领主魔法
Reliable Magic,稳定魔法
Shining Runes,闪耀符文
Willing Runes,符文归附
Writhing Runelord Weapon,扭曲符文领主武器
Vindictive Thoughts,报复心念
expert proficiency in a spear or polearm,在矛或长柄武器上达到专家熟练度
Autonomous Arms,自主武器
Subjugation,慑服凡众
Advanced Runelord Magic,进阶符文领主魔法
Apocalyptic Visions,末日幻象
Craft Runewell,制作符文井
Heroic Scion Dedication,再世英杰入门
"Phase Dragon (Young, Spellcaster)",青年相位龙
"Phase Dragon (Ancient, Spellcaster)",古相位龙
Shoo!,走开！ !
Phase Jump,相位跳跃
Currency,货币
Transfer Credits,信用点转账
Credstick,信用点棒
Total Currency,全部货币
Dragonet,微龙
Allow coin type conversion,允许转换硬币类型
Avoid Fate's Gaze,匿命隐踪
Internal Dialogue,内在独白
My Reputation Precedes Me,盛名在外
familiar or nimble or savage animal companion,魔宠或灵敏动物伙伴或狂怒动物伙伴
Reincarnated Companion,轮回伙伴
To Thine Own Self,忠于自我
Momentary Respite,片刻慰藉
Daunting Spell,威慑法术
Let Death be my Weapon,铸死为兵
Vigorous Victor,勇毅胜者
Telling Blow,决胜一击
On My Best Day,巅峰之日
Belay That!,停！ !
Timewracked Dedication,时劫者入门
Warshard Warrior Dedication,神雨遗锋入门
"Requiem Dragon (Ancient, Spellcaster)",古安魂龙
Requiem Dragon (Adult),成年安魂龙
"Requiem Dragon (Young, Spellcaster)",青年安魂龙
"Requiem Dragon (Adult, Spellcaster)",成年安魂龙
Requiem Dragon (Young),青年安魂龙
Soul Journey,灵魂之旅
Withhold Death,阻止死亡
Redirect River,河流改道
Soul Shield,灵魂护盾
Resurrection Dragon (Ancient),古复生龙
"Resurrection Dragon (Ancient, Spellcaster)",古复生龙
Resurrection Dragon (Young),青年复生龙
"Resurrection Dragon (Adult, Spellcaster)",成年复生龙
"Resurrection Dragon (Young, Spellcaster)",青年复生龙
Resurrection Dragon (Adult),成年复生龙
Reawaken!,醒来！ !
Risen Commander,复生指挥官
Arise!,重生！ !
"Rune Dragon (Adult, Spellcaster)",成年符文龙
Necro Puppeteer,死灵傀儡
"Rune Dragon (Young, Spellcaster)",青年符文龙
Soul Siphoning Breath,汲魂吐息
To Me!,随我来！ !
"Rune Dragon (Ancient, Spellcaster)",古符文龙
Rune Dragon (Ancient),古符文龙
Eternal Hero,永恒英杰
Canceling Rune,抵消符文
Retributive Rune,惩戒符文
Entangling Rune,束缚符文
Runic Breath,符文吐息
Shifting Runes,变幻符文
Trail of Runes,符文踪迹
Be Right Back,瞬时归返
Live Off Borrowed Time,借时而生
Now You See Me,时影遁形
Second Sight,窥时先机
Temporal Fury,时光怒袭
Avenger of Sloth,懒惰复仇者
Avenger of Greed,贪婪复仇者
Avenger of Gluttony,暴食复仇者
Avenger of Lust,色欲复仇者
Avenger of Wrath,愤怒复仇者
"Whisper Dragon (Young, Spellcaster)",青年低语龙
"Whisper Dragon (Adult, Spellcaster)",成年低语龙
Whisper Dragon (Young),青年低语龙
Whisper Dragon (Ancient),古低语龙
"Whisper Dragon (Ancient, Spellcaster)",古低语龙
Information Network,信息网络
Bolstered Recovery,迅时复原
Echoing Fury,回响怒袭
Preserve the Moment,凝时留影
Fracture Timeflow,破碎时流
Athlete's Ally,健将助力
Steadfast Grip,碎刃牢执
Transmute Weapon,嬗变武装
Warshard Rune,神雨符文
Divide and Conquer,分进合击
Indomitable Shot,不折之矢
Prescient Parry,先觉招架
Final Shot Knows the Way,末矢知途
Throw and Catch,掷击回收
I am the Weapon,吾即兵刃
House Of Imaginary,幻墙剧院
Reaper’s Lantern,死神提灯
Familiar’s Face,宠伴之面
Wanderer’s Guide,旅者向导
Mantis’s Grasp,螳螂之握
Nature’s Enmity,自然之敌
Sooting Words,慰心之语
Lift Nature’s Caul,揭开自然之帷
Dispersse Into Air,消散如风
Achaekek’s Clutch,阿卡艾克克之握
Sooting Ballad,抚慰叙事诗
Flash Of Omipotence,一瞬全能
Wand of Chromatic Burst,七彩爆发魔杖
Wand of Chromatic Burst (4th-Level Spell),七彩爆发魔杖（4环）
Wand of Chromatic Burst (7th-Level Spell),七彩爆发魔杖（7环）
HEAVEN,七重天堂
Seventh Prism,七重棱镜
Aeon Wyrd,万古灵（魔宠）
Aeon Stone,万古石
Aeon Stone (Repairing),修复万古石
Cymophane Cabochon,万古石（凸圆形波光玉）
Polished Pebble,万古石（抛光鹅卵石）
Aeon Stone (Formulating),构想万古石
Olivine Pendeloque,万古石（鸡心形橄榄石）
Greater Everyneed Pack,高等万应包
Three-Pillared Yang Na,三柱海娜
Kurnugian Jackal,三目豺
Bougainvillea Blossom,三角梅花
Major Bougainvillea Blossom,上等三角梅花
Moderate Bougainvillea Blossom,中等三角梅花
Lesser Bougainvillea Blossom,次等三角梅花
Greater Bougainvillea Blossom,高等三角梅花
You’Re Next,下个到你
Sewer Haze,下水道痴呆症
Never Tired,不知疲倦
Box Of Unspoiling,不腐匣
Jester’s Gambol,丑角嬉戏
原文,专长数据
Weight Of The World,世界之重
World-Protector’s Hospitality,世界守护者之看顾
Worldscale Shield,世鳞之盾
Jian of Life’s Duality,两仪剑
Major Zombie Staff,上等丧尸法杖；
Greater Zombie Staff,高等丧尸法杖
Peony’s Flourish,丹华盛绽
DAMREK’S LIBRARY,丹瑞克图书馆
Juggernaut Mutagen,主宰突变药剂
Dr. Ushernacht's Astonishing Ink,乌什纳赫特博士的惊人墨水
Major Astonishing Ink,乌什纳赫特博士的惊人墨水（上等惊人墨水）
Minor Astonishing Ink,乌什纳赫特博士的惊人墨水（下等惊人墨水）
Moderate Astonishing Ink,乌什纳赫特博士的惊人墨水（中等惊人墨水）
Ulon,乌仑
Uirch,乌尔奇
Urazra,乌拉扎
Uskyeria,乌斯凯里亚
Wulgren,乌格伦
Ussharassim,乌沙拉西姆
Musical Instrument,乐器
Arbor Wine (Aged),陈年乔木酒
Roll with It (Ranger),乘势移形
Hell,九层地狱
Calligraphy Wyrm,书卷龙（魔宠）
Picture-in-Cloud,云中画
Yamasoth,亚马索斯
Wyrm's Flight,亚龙飞翼赋礼
Swap Luck,交换机运赋礼
Profane Fervor,亵渎狂热赋礼
Paradise Light,仙境之光
Celestial Peach,仙桃
Aether Marble,以太弹珠
Aether Marble (Moderate),中等以太弹珠
Aether Marble (Lesser),次等以太弹珠
Aether Marble (Greater),高等以太弹珠
Aetheric Irritant,以太排斥器
Major Aetheric Irritant,上等以太排斥器
Moderate Aetheric Irritant,中等以太排斥器
Lesser Aetheric Irritant,次等以太排斥器
Greater Aetheric Irritant,高等以太排斥器
Ixam's Eye,伊克塞姆之眼
Inna,伊娜
Il’Surrish,伊尔苏里什
Yhidothrus,伊希多斯
Isph-Aun-Vuln,伊斯弗-奥恩-沃尔恩
Yig,伊格
Iggeret,伊格雷特
Izuyaku,伊祖亚库
Vudravati,伏陀罗天女
Parlor,会所（特征）
Potion of Disguise,伪装药水
Bokrug,伯克鲁格
Vorvorak,似龙鳄
Planar Skiff,位面快艇
Planar Shot,位面炮弹
Low Gravity,低重力（特征）
Residence,住宅（特征）
Zogmugot,佐格穆戈特
Loaded Dice,作弊骰子
Major Composer Staff,上等作曲家法杖
Greater Composer Staff,高等作曲家法杖
Whats That up Your Sleeve?,你袖子里是什么？
Sellsword's Folly,佣兵之愚
Peshspine Grenade,佩什尖刺手雷
Peshspine Grenade (Major),上等佩什尖刺手雷
Peshspine Grenade (Moderate),中等佩什尖刺手雷
Peshspine Grenade (Lesser),次等佩什尖刺手雷
Peshspine Grenade (Greater),高等佩什尖刺手雷
Sleuth's Pipe,侦探烟斗
Infesting Shot,侵染石弹
Portable Seal,便携式封印
Major Portable Seal,上等便携式封印
Moderate Portable Seal,中等便携式封印
Lesser Portable Seal,次等便携式封印
Portable Weapon Mount,便携武器架
"Portable Weapon Mount (Tripod, Shielded)",便携武器架（带盾三脚架）
Pheromone Flare,信息素明烛
Moderate Pheromone Flare,中等信息素明烛
Lesser Pheromone Flare,次等信息素明烛
Greater Pheromone Flare,高等信息素明烛
Marking Powder Cannon,信标火炮
Teekdoon,俯冲
False Witness,假证人
False Witness (Honorable),令人尊敬假证人
False Witness (Respectable),值得信赖假证人
False Witness (Disreputable),声名狼藉假证人
False Witness (Ordinary),平平无奇假证人
False Witness (Unimpeachable),无懈可击假证人
Lovers' Ink,偷情墨水
Dalang’s Ally,傀儡师之盟
Emetic Paste,催吐膏药
Horn of the Aoyin,傲因号角
Cipher Of The Elemental Planes,元素位面密令
Elemental Wayfinder,元素寻路仪
Elemental Ammunition,元素弹药
Elemental Wisp,元素微灵（魔宠）
Element Overlap,元素搭接
Elemental Scamp,元素魔蝠（魔宠）
Energized Shield,充能盾
Major Energized Shield,上等充能盾
Moderate Energized Shield,中等充能盾
Lesser Energized Shield,次等充能盾
Greater Energized Shield,高等充能盾
Ancestors’ Call,先祖呼唤赋礼
Corosbel,克洛斯贝尔
Xoveron,克索韦隆
Cthulhu,克苏鲁
Universal Solvent,全能溶剂
Ubiquitous overdrie,全链超载
Sixfingers Elixir,六指灵药
Rhan-Tegoth,兰-提戈斯
Protector’s Final Gift,兵蜂的最终馈赠
Beastlord Dedication,兽主入门
Orc Superstitio,兽人迷信
Neshen,内申
Implosion Dust,内聚尘
Greater Medic's Armband,高等军医袖章
Champion's Laurels,冠军的桂冠
Professional Champion's Laurels,专业冠军的桂冠
Amateur Champion's Laurels,业余冠军的桂冠
Renowned Champion's Laurels,著名冠军的桂冠
Wintershot (Artifact),冬狩（神器）
Cold Comfort,冰冷抚慰
Impact Foam Chassis,冲击泡沫底盘
Dueling Dance,决斗之舞
Duelist’s Challenge,决斗挑战
Purifying Spoon,净化勺子
Purifying Spoon (Purifying Teaspoon),净化勺子（净化茶匙）
Purifying Spoon (Purifying Tablespoon),净化勺子（净化调羹）
Purifying Spoon (Purifying Ladle),净化勺子（净化长柄汤勺）
Wand of Purification,净化魔杖
Wand of Purification (2nd),净化魔杖（2环）
Wand of Purification (3rd),净化魔杖（3环）
Wand of Purification (4th),净化魔杖（4环）
Wand of Purification (5th),净化魔杖（5环）
Wand of Purification (6th),净化魔杖（6环）
Wand of Purification (7th),净化魔杖（7环）
Wand of Purification (8th),净化魔杖（8环）
Wand of Purification (9th),净化魔杖（9环）
Flowing Footsteps,凌波微步赋礼
Frozen Lava of Droskar’s Crag,卓斯卡之崖的凝结岩浆
Phoenix’s Flight,凤翼天翔
Kelinahat,凯利纳哈特
Keltheald,凯尔西亚德
Khepri,凯布利
Torn Quartet,分尸残骸
Wheels Of Innovation,创新之轮
CREATION’S FORGE,创生熔炉
Elements of Creation,创造众要素
Creative Spark,创造火花
Liisglan,利斯格兰
Greater Toothy Knife,高等利齿小刀
Cryomister,制冷器
Assassin's Bracers,刺客护腕
Bristling Spines,刺毛
Moderate Bristling Spines,中等刺毛
Lesser Bristling Spines,次等刺毛
Greater Bristling Spines,高等刺毛
Irritating Seedpod,刺激种荚
Major Irritating Seedpod,上等刺激种荚
Moderate Irritating Seedpod,中等刺激种荚
Lesser Irritating Seedpod,次等刺激种荚
Greater Irritating Seedpod,高等刺激种荚
Pierce The Veil,刺破帷幕赋礼
Lady Razor,剃刀女士
Wand of Toxic Blades,剧毒壁刃魔杖
Wand of Toxic Blades (6th-Level Spell),剧毒壁刃魔杖（6环）
Wand of Toxic Blades (7th-Level Spell),剧毒壁刃魔杖（7环）
Wand of Toxic Blades (8th-Level Spell),剧毒壁刃魔杖（8环）
Poisonous Cloak,剧毒披风
Cannon,加农炮
Degenerating,劣化诅咒
Major Bagpipes of Turmoil,上等动乱风笛
Greater Bagpipes of Turmoil,高等动乱风笛
Animal Pheromones,动物信息素
Moderate Animal Pheromones,中等动物信息素
Lesser Animal Pheromones,次等动物信息素
Greater Animal Pheromones,高等动物信息素
Animal Repellent,动物驱逐剂
Hearing Aid (Magical),魔法助听器
Nulgreth,努格雷斯
Bravery Baldric,勇气挎带
Fossil Fragment,化石碎块
Triceratops Frill,化石碎块（三角龙盾沿）
Eurypterid Paddle,化石碎块（广翅鲎螯）
Deinonychus Claw,化石碎块（恐爪龙爪）
Tyrannosaur Tooth,化石碎块（暴龙牙）
Amber Mosquito,化石碎块（琥珀飞蚊）
Petrified Wood,化石碎块（石化木）
Brontosaurus Phalange,化石碎块（雷龙指骨）
Serpent Oil,化蛇油
Major Boreal Staff,上等北寒法杖
Greater Boreal Staff,高等北寒法杖
Deadweight Mutagen,千钧突变药剂
Thousand-Pains Fulu,千难符箓
Midnight Milk,午夜牛奶
Kagia,卡基亚
Cassian,卡塞申（记录天使）
Kaldemash,卡尔德玛什
Camazotz,卡马佐茨
Vindicator’s Judgment,卫道者之裁
Whaamy,厄运缠身赋礼
Paired Shot,双枪射击
Twinned Defense,双重防御
Retaliation,反击
Strange Gravity,反常重力（特征）
Kickback Spring,反扑弹射器
Queasy Lantern,反胃提灯
Inventor's Chair,发明家轮椅
Clockwork Bumblebee,发条大黄蜂
Wind-up Wings,发条飞翼
Clockwork Familiar,发条魔宠（魔宠）
Smoke Ball,发烟球
Camouflaging Chromatophores,变色龙细胞
Lesser Camouflaging Chromatophores,次等变色龙细胞
Greater Camouflaging Chromatophores,高等变色龙细胞
Ancient Omen Dragon,古兆命龙
Ancient Empyreal Dragon,古圣天龙
Ancient Diabolic Dragon,古地狱龙
Ancient Mirage Dragon,古幻影龙
Ancient Primal Dragon,古智角龙
Ancient Fortune Dragon,古福宝龙
Ancient Adamantine Dragon,古精金龙
Ancient Conspirator Dragon,古诡谋龙
Called (Weapon Rune),召回
Called (Accessory Rune),召来
Malleable Mixture,可塑性混合物
Extendible Pincer,可延长夹取器
Gruesome Bolt,可怖矢
Yelayne,叶莱妮
Alloy Orb,合金球
Low-Grade Alloy Orb,低品质合金球
Standard-Grade Alloy Orb,标准品质合金球
Exquisite Standard-Grade Alloy Orb,精致标准品质合金球
Exquisite High-Grade Alloy Orb,精致高品质合金球
High-Grade Alloy Orb,高品质合金球
Empathetic Envoy,同心使节
The Devourer,吞噬者
Curse of the Ravenous,吞噬诅咒
Bag of Devouring,吞食袋
Cape of Illumination,启明斗篷
Guiding Star Orb (Artifact),启明星法球（神器）
Raucous,吵闹诅咒
Absorb Injury,吸收损害赋礼
Calling Stone,呼唤石
Fate’s Travels,命定之旅
Preordained Spear,命定之矛
Vitality Siphon,命能虹吸赋礼
Roaring Potion,咆哮药水
Dweomercat Cub,咒猫幼崽（魔宠）
Major Accursed Staff,上等咒诅法杖
Greater Accursed Staff,高等咒诅法杖
Haggakal,哈加卡尔
Haborym,哈博林
Halcamorra,哈卡莫拉
Hataam,哈塔姆
Hadregash,哈德戈什
The Harrow Court,哈罗庭院
Harrow Deck,哈罗牌组
Haagenti,哈金提
Major Goz Mask,上等哥兹面具
Greater Goz Mask,高等哥兹面具
Rouse The Forest’S Fury,唤起森林之怒
Squawk,喀咯！
Jet Propulsion,喷射推进赋礼
Olfactory Obfuscator,嗅觉扰断剂
Mockingfey,嘲弄精（魔宠）
Curse of Biting Swarms,噬人蜂群咒
Brain Worms,噬脑虫
Worm’s Feast,噬身蠕虫
Fan of the Four Winds,四风之扇
Fish from the Falls’ Edge,回天奇术
Rebound Assault,回旋强袭
Embaral,因拜罗
Greater Librarian Staff,高等图书管理员法杖
Major Staff of Earth,上等土之法杖
Greater Staff of Earth,高等土之法杖
PLANE OF EARTH,土元素位面
Sacred Glow,圣光普照赋礼
Religious Symbol,圣徽
Hex-KM,地块（特征）
Dungeon,地城（特征）
Assume Earth’S Mantle,地幔裹身
Underground Bounty,地脉之赐赋礼
Xulgath Stalker,地蜥人潜伏者
Seismic Amplifier,地震放大器
Barding (Light; Large),轻型坐骑护甲（大型）
Barding (Light; Small or Medium),轻型坐骑护甲（小型或中型）
Barding (Heavy; Large),重型坐骑护甲（大型）
Barding (Heavy; Small or Medium),重型坐骑护甲（小型或中型）
Irrepressible,坚定意志
Stalwart’s Banner,坚毅战旗
Major Stalwart’s Banner,上等坚毅战旗
Greater Stalwart’s Banner,高等坚毅战旗
Junk Bomb,垃圾炸弹
Elion,埃利昂
Etaris,埃塔里斯
AREELU’S GANGLION,埃芮露的力量核心
Plate of Yled,埃莱德板甲
Plate of Yled (Major Graveknight Plate),埃莱德板甲（上等死墓骑士板甲）
Plate of Yled (Graveknight Plate),埃莱德板甲（死墓骑士板甲）
Plate of Yled (True Graveknight Plate),埃莱德板甲（真实死墓骑士板甲）
Plate of Yled (Greater Graveknight Plate),埃莱德板甲（高等死墓骑士板甲）
Kitumu,基图姆
Ceyannan,塞亚南
Seramydiel,塞拉米迪尔
Thisamet,塞斯玛特
Grave Curse,墓地诅咒
Pressure Bomb,增压炸弹
Barricade Stone,壁垒石
Embolded With Glorious Purpose,壮志凌云
Blood Booster,壮血剂
Form of Vengeance,复仇形态赋礼
Vengful Remnant,复仇残料
Umbral Body,复影之躯赋礼
duskwood Armor,夕木护甲
duskwood Armor (High-Grade),高品质夕木护甲
Duskwood Object (Standard-Grade),标准品质夕木物品
Duskwood Weapon,夕木武器
